Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C4",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1.5u,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
"D3, D7",LED_Rectangular_W5.0mm_H2.0mm,2,LED_green,
"D4, D6",LED_Rectangular_W5.0mm_H2.0mm,2,LED,
D5,LED_D5.0mm,1,LED_green,
"J1, J2",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
"Q2, Q3, Q4, Q5",TO-92_Inline_Wide,4,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"R19, R24, R25, R26, R27",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,LED,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,200R,
"R22, R4, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,33k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,120k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,220k,
RV1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,1,A20k,
"RV2, RV4",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,2,A100k,
RV3,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,1,A10k,
RV5,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,1,A500k,
RV6,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,1,A1M,
SW1,SPDT-toggle-switch-1M-series,1,SW_SPDT,
